Job Satisfaction,Salary,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Year,Latitude,Longitude
5,75500,"Kansas City, MO, US",Associate,,6-10,Yes,Unpaid Overtime,20.0,,Full-time,6-7,31-35,Female,Licensed,,,,2023,39.100105,-94.5781416
8,88500,"New York, NY, US",Project Architect,Corporate,201-500,Yes,,20.0,"3,000",Full-time,16-20,46-50,Male,No,,,,2023,40.7127281,-74.0060152
9,82000,"Ithaca, NY, US",Senior Designer,Corporate,501+,,Unpaid Overtime,20.0,"2,000",Full-time,8-10,36-40,Male,No,,,,2023,42.4396039,-76.4968019
5,63000,"Chicago, IL, US",Junior Designer,Corporate,501+,Yes,,14.0,"1,500",Full-time,< 1,21-25,Female,No,,,,2023,41.8755616,-87.6244212
5,89200,"King of Prussia, PA, US",Project Manager,Corporate,51-100,Yes,Unpaid Overtime,25.0,"8,000",Full-time,11-15,36-40,Female,No,James Madison University,,,2023,40.0908111,-75.3832484
8,100000,"Chicago, IL, US",Project Manager,Boutique,16-30,Yes,No Overtime,20.0,"8,000",Full-time,16-20,41-45,Female,Licensed,University of Notre Dame,,,2023,41.8755616,-87.6244212
10,72000,"Boston, MA, US",Junior Architect,Boutique,51-100,Yes,No Overtime,20.0,"1,000",Full-time,3,26-30,Female,Licensed,,,,2023,42.3554334,-71.060511
3,77000,"Seattle, WA, US",Associate,Boutique,16-30,Yes,No Overtime,15.0,"5,000",Full-time,6-7,31-35,Female,Licensed,,,,2023,47.6038321,-122.330062
7,72000,"New York, NY, US",Job Captain,Boutique,16-30,Yes,No Overtime,10.0,"1,000",Full-time,11-15,31-35,Female,No,,,,2023,40.7127281,-74.0060152
10,60000,"College Station, TX, US",Designer,Boutique,16-30,Yes,Unpaid Overtime,10.0,,Full-time,< 1,21-25,Male,No,Texas A&M University,,,2023,30.6183939,-96.3455991
5,44500,"Doylestown, PA, US",Draftsperson,Boutique,6-10,Yes,Paid Overtime,3.0,,Full-time,2,31-35,Male,No,Cleveland Institute of Art,,,2023,40.3100446,-75.1304588
7,44000,"Manhattan, KS, US",Project Architect,Boutique,2-5,Yes,Paid Overtime,10.0,"1,100",Full-time,2,21-25,Female,No,Kansas State University,Kansas State University,,2023,39.1836082,-96.5716694
7,78000,"Boston, MA, US",Intermediate Architect,Corporate,101-200,Yes,Unpaid Overtime,10.0,,Full-time,8-10,31-35,Female,No,,,,2023,42.3554334,-71.060511
8,81000,"Dallas, TX, US",Designer,Corporate,101-200,Yes,,15.0,"5,000",,8-10,31-35,Male,No,,,,2023,32.7762719,-96.7968559
9,68000,"Chicago, IL, US",Associate,Corporate,16-30,Yes,Unpaid Overtime,10.0,,Full-time,2,26-30,Female,No,,University of Illinois at Urbana-Champaign,,2023,41.8755616,-87.6244212
9,65000,"Los Angeles, CA, US",Designer,Boutique,11-15,Yes,Unpaid Overtime,10.0,,Full-time,3-5,31-35,Male,No,Universidad Finis Terrae,"University of California, Los Angeles (UCLA)",,2023,34.0536909,-118.242766
3,169000,"Boston, MA, US",Associate,Corporate,201-500,Yes,Paid Overtime,25.0,"5,000",Full-time,31-40,41-45,Female,No,,,,2023,42.3554334,-71.060511
10,82500,"Seattle, WA, US",Junior Designer,,501+,,,,,,2,26-30,Female,No,,,,2023,47.6038321,-122.330062
5,79000,"Los Angeles, CA, US",Job Captain,Corporate,101-200,Yes,,14.0,"2,000",Full-time,3-5,31-35,Female,No,,Southern California Institute of Architecture (SCI-Arc),,2023,34.0536909,-118.242766
4,118000,"New York, NY, US",Project Manager,Corporate,51-100,Yes,Unpaid Overtime,,,Full-time,11-15,46-50,Female,No,,,,2023,40.7127281,-74.0060152
9,85000,"Los Angeles, CA, US",Job Captain,Boutique,6-10,Yes,No Overtime,30.0,,Full-time,6-7,31-35,Male,No,Woodbury University,Columbia University,,2023,34.0536909,-118.242766
8,80000,"Scottsdale, AZ, US",Project Manager,Boutique,11-15,Yes,Unpaid Overtime,12.0,"10,000",Full-time,6-7,31-35,Female,No,,Arizona State University,,2023,33.4942189,-111.926018
1,120000,"Los Angeles, CA, US",Project Architect,Corporate,101-200,Yes,Unpaid Overtime,10.0,"10,000",Full-time,21-25,46-50,Male,Licensed,"California State Polytechnic University, Pomona",,,2023,34.0536909,-118.242766
7,90000,"New York, NY, US",Intermediate Architect,Corporate,101-200,Yes,Unpaid Overtime,20.0,"7,000",Full-time,8-10,31-35,Female,Licensed,,Columbia University,,2023,40.7127281,-74.0060152
7,66000,"New York, NY, US",Intermediate Designer,Corporate,101-200,Yes,Unpaid Overtime,18.0,"3,000",Full-time,3-5,26-30,Female,No,Pratt Institute,,,2023,40.7127281,-74.0060152
8,62000,"New York, NY, US",Designer,Boutique,6-10,Yes,No Overtime,10.0,"2,000",Full-time,6-7,26-30,Male,No,,,,2023,40.7127281,-74.0060152
8,53000,"Kalamazoo, MI, US",Technical Architect,Corporate,11-15,,No Overtime,10.0,750,Full-time,3-5,26-30,Male,No,University of Michigan,,,2023,42.291707,-85.5872286
9,72000,"Washington, DC, US",Designer,Corporate,501+,Yes,Paid Overtime,20.0,"10,000",Full-time,3-5,26-30,Female,No,University of Cincinnati,,,2023,38.8950368,-77.0365427
8,85000,"Los Angeles, CA, US",Designer,Corporate,101-200,,No Overtime,23.0,,Full-time,6-7,26-30,Female,No,University of Cincinnati,,,2023,34.0536909,-118.242766
8,74000,"San Luis Obispo, CA, US",Junior Architect,Boutique,31-50,Yes,Paid Overtime,15.0,"1,500",Full-time,3-5,26-30,Male,Licensed,"California Polytechnic State University, San Luis Obispo",,,2023,35.3540209,-120.375716
7,85000,"Boston, MA, US",Intermediate Designer,Corporate,16-30,Yes,Paid Overtime,20.0,"1,000",Full-time,6-7,26-30,Female,Licensed,,,,2023,42.3554334,-71.060511
5,82000,"Chicago, IL, US",Project Architect,Boutique,11-15,Yes,,15.0,"2,500",Full-time,6-7,26-30,Female,Licensed,,,,2023,41.8755616,-87.6244212
8,65000,"Knoxville, TN, US",Project Architect,Boutique,6-10,Yes,Unpaid Overtime,15.0,"16,000",Full-time,6-7,26-30,Male,Licensed,The University of Tennessee - Knoxville,,,2023,35.9603948,-83.9210261
7,62400,"San Francisco, CA, US",Junior Designer,Boutique,2-5,Yes,Paid Overtime,8.0,,Full-time,1,21-25,Female,Licensed,"California Polytechnic State University, San Luis Obispo",,,2023,37.7792588,-122.4193286
5,52000,"Los Angeles, CA, US",Designer,Individual,6-10,,Unpaid Overtime,18.0,"4,000",Full-time,2,26-30,Male,No,,University of Southern California (USC),,2023,34.0536909,-118.242766
6,62000,"Springfield, MA, US",Job Captain,Other,16-30,Yes,Paid Overtime,22.0,"5,000",Full-time,6-7,31-35,Female,No,,,,2022,42.1018764,-72.5886727
7,58240,"Doylestown, PA, US",Junior Designer,Boutique,2-5,Yes,Paid Overtime,28.0,"2,000",Full-time,1,26-30,Female,No,,,,2022,40.3100446,-75.1304588
4,67000,"New York, NY, US",Junior Designer,,501+,Yes,,,"2,300",,2,26-30,Other,No,,Harvard University,,2022,40.7127281,-74.0060152
7,65000,"Philadelphia, PA, US",Designer,Corporate,501+,Yes,Unpaid Overtime,15.0,"2,000",Full-time,3-5,26-30,Female,No,The Pennsylvania State University (Penn State),,,2022,39.9527237,-75.1635262
7,95000,"San Francisco, CA, US",Designer,Boutique,11-15,Yes,,15.0,"3,000",Full-time,6-7,31-35,Male,No,,"University of California, Berkeley",,2022,37.7792588,-122.4193286
8,78000,"Saint Louis, MO, US",Project Architect,,31-50,,,,"1,500",,11-15,36-40,Female,Licensed,Rice University,,,2022,38.6280278,-90.1910154
6,53000,"Cincinnati, OH, US",Interior Designer,Corporate,101-200,Yes,Unpaid Overtime,12.0,"2,800",Full-time,3,21-25,Female,No,University of Cincinnati,,,2022,39.1014537,-84.5124602
9,79000,"Los Angeles, CA, US",Designer,Corporate,101-200,Yes,Paid Overtime,20.0,"3,000",Full-time,3,26-30,Female,No,University of Southern California (USC),,,2022,34.0536909,-118.242766
8,77500,"Boca Raton, FL, US",Intermediate Architect,,6-10,,,,,,6-7,41-45,Female,No,,,,2022,26.3586885,-80.0830984
10,101700,"Cambridge, MA, US",Associate,,51-100,Yes,Unpaid Overtime,20.0,"15,000",Full-time,11-15,36-40,Female,Licensed,,,,2022,42.3656347,-71.1040018
3,90360,"Richmond, VA, US",Project Manager,Boutique,16-30,Yes,Unpaid Overtime,20.0,,Full-time,26-30,51-55,Male,Licensed,Temple University,Arizona State University,,2022,37.5385087,-77.43428
7,60000,"New York, NY, US",Designer,Boutique,6-10,Yes,No Overtime,14.0,,Full-time,< 1,26-30,Male,No,University of Minnesota,Columbia University,,2022,40.7127281,-74.0060152
9,70000,"New York, NY, US",Junior Designer,,201-500,,Unpaid Overtime,,,,2,26-30,Male,No,,,,2022,40.7127281,-74.0060152
8,72050,"New York, NY, US",Junior Architect,Individual,11-15,Yes,No Overtime,15.0,"6,000",Full-time,3-5,26-30,Male,No,,Columbia University,,2022,40.7127281,-74.0060152
8,140000,"San Francisco, CA, US",Project Manager,Corporate,201-500,Yes,Unpaid Overtime,28.0,"20,000",Full-time,16-20,36-40,Female,Licensed,"California Polytechnic State University, San Luis Obispo",,,2022,37.7792588,-122.4193286
5,85000,"New York, NY, US",Intermediate Designer,Boutique,16-30,Yes,Unpaid Overtime,20.0,,Full-time,3,26-30,Female,No,University of Washington,Columbia University,,2022,40.7127281,-74.0060152
6,72000,"New York, NY, US",Junior Architect,Individual,16-30,Yes,Unpaid Overtime,12.0,"2,000",Full-time,3-5,21-25,Female,No,Tulane University,Tulane University,,2022,40.7127281,-74.0060152
1,77000,"Seattle, WA, US",Designer,Corporate,501+,Yes,Unpaid Overtime,12.0,"4,000",Full-time,8-10,46-50,Female,No,"University of California, San Diego",University of Washington,,2022,47.6038321,-122.330062
8,60000,"New York, NY, US",Junior Designer,Corporate,501+,Yes,Unpaid Overtime,10.0,,Full-time,< 1,21-25,Female,No,,Columbia University,,2022,40.7127281,-74.0060152
7,77000,"New York, NY, US",Intermediate Designer,Boutique,6-10,Yes,Unpaid Overtime,15.0,"1,000",Full-time,2,26-30,Female,No,,,,2022,40.7127281,-74.0060152
8,53000,"Denver, CO, US",Junior Designer,,501+,,,,,,1,21-25,Female,No,,,,2022,39.7392364,-104.984862
8,72800,"Santa Clara, CA, US",Job Captain,Boutique,6-10,Yes,No Overtime,,,,8-10,46-50,Female,No,,,,2022,37.2333253,-121.6846349
4,50000,"New York, NY, US",Office Manager,Starchitect,6-10,Yes,,,,,< 1,18-20,Female,No,,,,2022,40.7127281,-74.0060152
7,91250,"Seattle, WA, US",Project Architect,Corporate,51-100,Yes,Unpaid Overtime,17.0,,Full-time,8-10,31-35,Female,Licensed,,,,2022,47.6038321,-122.330062
8,72500,"New York, NY, US",Project Manager,Boutique,6-10,Yes,Unpaid Overtime,,,Full-time,6-7,31-35,Male,No,,Pratt Institute,,2022,40.7127281,-74.0060152
8,90000,"New York, NY, US",Project Architect,Boutique,6-10,Yes,Unpaid Overtime,10.0,,Full-time,11-15,31-35,Female,No,,,,2022,40.7127281,-74.0060152
8,114000,"New York, NY, US",Project Manager,Corporate,101-200,Yes,Unpaid Overtime,20.0,"4,000",Full-time,16-20,41-45,Male,Licensed,University of Miami,,,2022,40.7127281,-74.0060152
8,77000,"New York, NY, US",BIM Specialist,Corporate,501+,Yes,Paid Overtime,14.0,"4,000",Full-time,3-5,31-35,Male,No,,New Jersey Institute of Technology (NJIT),,2022,40.7127281,-74.0060152
5,58000,"Los Angeles, CA, US",Designer,Boutique,6-10,,Unpaid Overtime,5.0,,Full-time,2,26-30,Female,No,University of Southern California (USC),,,2022,34.0536909,-118.242766
5,54000,"Kansas City, MO, US",Junior Architect,Corporate,101-200,Yes,,10.0,,Full-time,2,26-30,Male,No,,,,2022,39.100105,-94.5781416
10,130000,"San Francisco, CA, US",Senior Architect,Boutique,6-10,Yes,Unpaid Overtime,20.0,"5,000",Full-time,8-10,36-40,Male,No,,UC Berkeley CED,,2022,37.7792588,-122.4193286
4,78250,"New York, NY, US",Project Architect,Boutique,16-30,Yes,Unpaid Overtime,15.0,"1,200",Full-time,8-10,36-40,Female,Licensed,,Illinois Institute of Technology (IIT),,2022,40.7127281,-74.0060152
10,94000,"Seattle, WA, US",Associate,Corporate,501+,Yes,Unpaid Overtime,35.0,,Full-time,8-10,36-40,Male,No,,,,2022,47.6038321,-122.330062
7,65000,"New York, NY, US",Junior Architect,Boutique,16-30,Yes,Unpaid Overtime,,,Full-time,3,26-30,Female,No,,Columbia University,,2022,40.7127281,-74.0060152
7,63000,"San Francisco, CA, US",Designer,Other,51-100,Yes,Paid Overtime,,"2,000",Full-time,2,21-25,Female,No,,,,2022,37.7792588,-122.4193286
5,71000,"Fayetteville, AR, US",Project Architect,Boutique,16-30,Yes,Unpaid Overtime,15.0,"3,000",Full-time,3-5,26-30,Male,Licensed,,Drury University,,2022,36.0625843,-94.1574328
8,52000,"Madison, WI, US",Designer,Corporate,31-50,Yes,Unpaid Overtime,8.0,,Full-time,2,26-30,Other,No,The University of New Mexico,,,2022,43.074761,-89.3837613
10,85000,"Somerville, MA, US",Associate,Boutique,6-10,Yes,,20.0,"1,000",Full-time,8-10,26-30,Female,No,University of the Philippines,Columbia University,,2022,42.3875968,-71.0994968
9,64480,"Portland, OR, US",Interior Designer,Individual,2-5,,Paid Overtime,10.0,300,Full-time,3,26-30,Female,No,University of Bridgeport,,,2022,45.5202471,-122.674194
8,98500,"Austin, TX, US",Project Manager,Other,51-100,Yes,,,"2,000",Full-time,8-10,41-45,Female,No,,,,2022,30.2711286,-97.7436995
6,103500,"Washington, DC, US",Project Manager,,16-30,Yes,,,,,8-10,31-35,Female,No,,,,2022,38.8950368,-77.0365427
8,65000,"Portland, OR, US",Designer,Corporate,51-100,Yes,Unpaid Overtime,15.0,"2,000",Full-time,3-5,26-30,Female,No,The University of Texas at Austin,,,2022,45.5202471,-122.674194
10,93500,"Chicago, IL, US",BIM Specialist,Corporate,201-500,Yes,,21.0,"1,500",Full-time,3-5,26-30,Female,No,,,,2022,41.8755616,-87.6244212
9,66000,"New York, NY, US",Interior Designer,Corporate,201-500,Yes,Paid Overtime,20.0,"2,500",Full-time,3-5,26-30,Female,No,,,,2022,40.7127281,-74.0060152
5,58000,"Minneapolis, MN, US",Landscape Architect,,501+,,,,,,1,26-30,Female,No,,,,2022,44.9772995,-93.2654692
9,60000,"Cincinnati, OH, US",Interior Designer,,101-200,Yes,,15.0,"5,000",,3-5,21-25,Female,No,,,,2022,39.1014537,-84.5124602
8,85000,"Portland, OR, US",Project Architect,Other,51-100,Yes,Unpaid Overtime,20.0,,Full-time,11-15,36-40,Female,Licensed,,University of Oregon,,2022,45.5202471,-122.674194
9,52000,"Cincinnati, OH, US",Designer,,16-30,Yes,No Overtime,,,Full-time,3-5,21-25,Male,No,University of Cincinnati,,,2022,39.1014537,-84.5124602
10,125000,"New York, NY, US",Project Manager,Corporate,101-200,Yes,Unpaid Overtime,15.0,,Full-time,11-15,31-35,Male,Licensed,,,,2022,40.7127281,-74.0060152
8,120000,"Dallas, TX, US",Project Manager,Boutique,11-15,Yes,No Overtime,,"17,000",,2,21-25,Female,No,The University of Texas at Austin,,,2022,32.7762719,-96.7968559
8,78500,"Collingswood, NJ, US",Project Architect,Other,51-100,Yes,Unpaid Overtime,20.0,,Full-time,8-10,31-35,Female,No,New Jersey Institute of Technology (NJIT),,,2022,39.9181686,-75.071284
8,90000,"New York, NY, US",Interior Designer,Corporate,101-200,Yes,Unpaid Overtime,36.0,"2,000",Full-time,6-7,26-30,Female,Licensed,,,,2022,40.7127281,-74.0060152
6,78000,"Portland, OR, US",Job Captain,Corporate,51-100,Yes,Unpaid Overtime,15.0,"2,500",Full-time,8-10,31-35,Female,Licensed,University of North Texas,,,2022,45.5202471,-122.674194
10,68000,"Nashville, TN, US",Junior Architect,Corporate,16-30,Yes,Unpaid Overtime,10.0,"5,000",Full-time,2,26-30,Female,No,,,,2022,36.1622767,-86.7742984
9,74000,"Portland, OR, US",Designer,Corporate,501+,Yes,Paid Overtime,18.0,"3,000",Full-time,3-5,26-30,Male,No,Utah State University,,,2022,45.5202471,-122.674194
8,115000,"San Francisco, CA, US",Job Captain,Boutique,16-30,Yes,,,,,6-7,31-35,Male,Licensed,,,,2022,37.7792588,-122.4193286
8,41600,"Austin, TX, US",Intern,Boutique,31-50,,No Overtime,,,Full-time,1,31-35,Male,No,Brown University,The University of Texas at Austin,,2022,30.2711286,-97.7436995
7,35360,"Austin, TX, US",Intern,Corporate,51-100,,Paid Overtime,,,Full-time,< 1,31-35,Male,No,Brown University,The University of Texas at Austin,,2022,30.2711286,-97.7436995
9,75000,"Los Angeles, CA, US",Designer,Corporate,101-200,Yes,Paid Overtime,20.0,"3,000",Full-time,3,26-30,Female,No,University of Southern California (USC),,,2022,34.0536909,-118.242766
7,75000,"Seattle, WA, US",Designer,,201-500,Yes,Paid Overtime,16.0,"5,000",Full-time,6-7,26-30,Female,No,,The University of British Columbia,,2022,47.6038321,-122.330062
8,180000,"San Jose, CA, US",Business Manager,Corporate,101-200,Yes,Paid Overtime,20.0,"10,000",Full-time,26-30,56-60,Female,Licensed,San Jose State University,UC Berkeley Extension,,2022,37.3361663,-121.890591
7,85000,"Baltimore, MD, US",Project Architect,Corporate,201-500,Yes,Unpaid Overtime,,"5,000",Full-time,8-10,36-40,Male,Licensed,,,,2022,39.2908816,-76.610759
7,85000,"San Francisco, CA, US",Designer,Corporate,501+,Yes,Unpaid Overtime,10.0,,Full-time,3-5,26-30,Male,No,,Columbia University,,2022,37.7792588,-122.4193286
9,65000,"Atlanta, GA, US",Designer,,16-30,,,,,,2,26-30,Male,No,,,,2022,33.7489924,-84.3902644
7,52000,"Bel Air, MD, US",Designer,Individual,16-30,Yes,Unpaid Overtime,10.0,,Full-time,< 1,21-25,Male,No,University of Maryland,,,2022,39.5355063,-76.3490396
7,145000,"Los Angeles, CA, US",Associate,Corporate,31-50,Yes,Unpaid Overtime,15.0,"12,000",Full-time,16-20,41-45,Male,No,,UCLA Extension,"University of California, Los Angeles (UCLA)",2022,34.0536909,-118.242766
8,74500,"Chicago, IL, US",Intermediate Architect,,501+,,,,,,6-7,31-35,Male,No,,,,2022,41.8755616,-87.6244212
10,68000,"Toledo, OH, US",Project Architect,Boutique,6-10,Yes,Unpaid Overtime,10.0,"3,000",Full-time,11-15,36-40,Female,Licensed,,,,2022,41.6529143,-83.5378173
2,80000,"Long Beach, CA, US",Job Captain,Corporate,201-500,Yes,No Overtime,15.0,"2,500",Full-time,8-10,31-35,Male,No,University at Buffalo,Clemson University,,2022,33.7690164,-118.191604
7,124000,"Atlanta, GA, US",Senior Architect,Corporate,501+,Yes,Unpaid Overtime,24.0,"32,000",Full-time,11-15,36-40,Female,Licensed,,,,2022,33.7489924,-84.3902644
8,82000,"Des Plaines, IL, US",Senior Architect,Corporate,101-200,,,,,,8-10,36-40,Male,No,,,,2022,42.0415823,-87.8873916
7,70000,"Kansas City, MO, US",Associate,,6-10,Yes,Unpaid Overtime,,"2,000",Full-time,3-5,26-30,Female,Licensed,,,,2022,39.100105,-94.5781416
7,155000,"New York, NY, US",Senior Designer,Corporate,201-500,,Unpaid Overtime,,"12,000",,16-20,36-40,Male,No,,,,2022,40.7127281,-74.0060152
5,62400,"San Diego, CA, US",Revit Specialist,Other,31-50,Yes,Paid Overtime,18.0,,Full-time,11-15,41-45,Female,No,"California Polytechnic State University, San Luis Obispo",,,2022,32.7174202,-117.162772
8,95000,"San Francisco, CA, US",Intermediate Designer,Boutique,16-30,Yes,,18.0,,Full-time,3-5,31-35,Female,No,,,,2022,37.7792588,-122.4193286
9,150000,"San Francisco, CA, US",Interior Designer,Corporate,101-200,Yes,,,,Full-time,8-10,31-35,Male,No,,,,2022,37.7792588,-122.4193286
9,108000,"San Francisco, CA, US",Job Captain,Boutique,16-30,Yes,No Overtime,20.0,,Full-time,3,26-30,Female,Licensed,,,,2022,37.7792588,-122.4193286
9,120000,"San Francisco, CA, US",Associate,Other,11-15,Yes,No Overtime,20.0,"6,000",Full-time,6-7,31-35,Female,Licensed,,,,2022,37.7792588,-122.4193286
8,93000,"San Francisco, CA, US",Job Captain,Boutique,16-30,Yes,No Overtime,20.0,"8,000",Full-time,3-5,31-35,Male,No,,,,2022,37.7792588,-122.4193286
6,104000,"San Francisco, CA, US",Associate,Boutique,31-50,Yes,Unpaid Overtime,28.0,800,Full-time,21-25,46-50,Male,No,University of Michigan,,,2022,37.7792588,-122.4193286
7,73000,"Kansas City, MO, US",Associate,,6-10,,,,,,3-5,26-30,Female,No,,,,2022,39.100105,-94.5781416
8,75000,"Los Angeles, CA, US",Designer,,16-30,,,,,,3,31-35,Male,No,,,,2022,34.0536909,-118.242766
8,90000,"Arlington, TX, US",Revit Specialist,Individual,6-10,Yes,Unpaid Overtime,30.0,"5,000",Full-time,8-10,41-45,Male,No,The University of Texas at Arlington,The University of Texas at Arlington,,2022,32.7355816,-97.1071186
7,100000,"Chicago, IL, US",Project Architect,Boutique,51-100,Yes,Unpaid Overtime,15.0,"5,000",Full-time,8-10,31-35,Female,Licensed,University of Illinois at Urbana-Champaign,"University of California, Los Angeles (UCLA)",,2022,41.8755616,-87.6244212
7,78000,"Chicago, IL, US",Project Architect,Boutique,16-30,Yes,Unpaid Overtime,10.0,"8,000",Full-time,8-10,31-35,Male,Licensed,Judson University,Judson University,,2022,41.8755616,-87.6244212
8,51000,"Buffalo, NY, US",Designer,,101-200,Yes,Paid Overtime,10.0,,Full-time,2,26-30,Male,No,,,,2022,42.8867166,-78.8783922
5,62500,"Portland, OR, US",Designer,Corporate,16-30,Yes,No Overtime,15.0,,Full-time,2,21-25,Male,No,University of Oregon,,,2022,45.5202471,-122.674194
4,62000,"Cleveland, OH, US",Project Architect,Boutique,6-10,Yes,No Overtime,15.0,,Full-time,3-5,26-30,Male,Licensed,Kent State University,Kent State University,,2022,41.4996574,-81.6936772
9,82000,"New York, NY, US",Junior Architect,,16-30,Yes,No Overtime,,,Full-time,3-5,26-30,Female,Licensed,,,,2022,40.7127281,-74.0060152
7,73000,"Montana, US",Project Architect,,16-30,Yes,Paid Overtime,20.0,"2,500",Full-time,3-5,26-30,Female,Licensed,Montana State University,Montana State University,,2022,47.3752671,-109.638757
7,67000,"Seattle, WA, US",Junior Architect,Corporate,101-200,Yes,Paid Overtime,15.0,,Full-time,3,26-30,Female,No,Montana State University,Montana State University,,2022,47.6038321,-122.330062
10,63000,"Jersey City, NJ, US",Designer,Boutique,2-5,,No Overtime,15.0,"5,000",Full-time,3-5,26-30,Male,No,New Jersey Institute of Technology (NJIT),,,2022,40.7215682,-74.047455
6,65000,"Boston, MA, US",Associate,Corporate,51-100,Yes,Unpaid Overtime,15.0,,Full-time,3,26-30,Female,No,Massachussets College of Art and Design,,,2022,42.3554334,-71.060511
8,68000,"New York, NY, US",Designer,,6-10,Yes,,19.0,,,3-5,26-30,Female,No,,,,2022,40.7127281,-74.0060152
6,110000,"New York, US",Project Architect,,16-30,Yes,Unpaid Overtime,10.0,,Full-time,11-15,36-40,Female,Licensed,,Columbia University,,2022,40.7127281,-74.0060152
7,70000,"Washington, DC, US",Designer,Boutique,2-5,Yes,No Overtime,14.0,"6,000",Full-time,6-7,26-30,Male,No,The Catholic University of America,,,2022,38.8950368,-77.0365427
7,70000,"Washington, DC, US",Associate,Other,51-100,Yes,Unpaid Overtime,15.0,"8,000",Full-time,3-5,26-30,Male,No,The Catholic University of America,,,2022,38.8950368,-77.0365427
5,95000,"New York, NY, US",Project Architect,Boutique,101-200,Yes,Unpaid Overtime,17.0,,Full-time,6-7,26-30,Male,Licensed,The Catholic University of America,The Catholic University of America,,2022,40.7127281,-74.0060152
8,52000,"New York, NY, US",Draftsperson,Corporate,16-30,,Paid Overtime,7.0,,Full-time,3,21-25,Female,No,,,,2022,40.7127281,-74.0060152
7,55000,"Washington, DC, US",Intern,Boutique,6-10,Yes,Unpaid Overtime,14.0,800,Full-time,1,21-25,Female,No,The Catholic University of America,,,2022,38.8950368,-77.0365427
7,65000,"New York, NY, US",Designer,Corporate,51-100,Yes,No Overtime,14.0,,Full-time,6-7,26-30,Female,No,The Catholic University of America,The Catholic University of America,,2022,40.7127281,-74.0060152
8,160000,"Los Angeles, CA, US",BIM Specialist,Corporate,501+,Yes,No Overtime,15.0,"30,000",Full-time,11-15,36-40,Female,Licensed,"California State Polytechnic University, Pomona",,,2022,34.0536909,-118.242766
6,85000,"Somerville, MA, US",Project Manager,Boutique,31-50,Yes,Unpaid Overtime,11.0,"3,000",Full-time,3-5,26-30,Male,Licensed,Columbia University,Harvard University,,2022,42.3875968,-71.0994968
7,67000,"Oakland, CA, US",Junior Designer,Other,31-50,Yes,Paid Overtime,20.0,"1,200",Full-time,3-5,26-30,Female,No,"California Polytechnic State University, San Luis Obispo",,,2022,37.8044557,-122.271356
7,62000,"Seattle, WA, US",Associate,Corporate,501+,Yes,,,,Full-time,1,26-30,Male,No,University of Southern California (USC),,,2022,47.6038321,-122.330062
4,70000,"New York, NY, US",Junior Designer,Boutique,16-30,Yes,No Overtime,17.0,500,Full-time,3-5,26-30,Male,No,University of Michigan,University of Southern California (USC),,2022,40.7127281,-74.0060152
9,82000,"New York, NY, US",Senior Designer,Corporate,501+,,Paid Overtime,18.0,"4,000",Full-time,3-5,26-30,Female,No,,University of Michigan,,2022,40.7127281,-74.0060152
7,65000,"Austin, TX, US",Junior Designer,Boutique,11-15,Yes,Unpaid Overtime,14.0,"2,000",Full-time,1,21-25,Male,No,The University of Texas at Austin,,,2022,30.2711286,-97.7436995
10,179000,"Boston, MA, US",Principal,Boutique,101-200,Yes,,30.0,"40,000",Full-time,21-25,41-45,Male,Licensed,,,,2022,42.3554334,-71.060511
8,88000,"Pittsburgh, PA, US",Project Architect,Corporate,501+,Yes,Unpaid Overtime,20.0,"7,000",Full-time,8-10,31-35,Female,Licensed,Kent State University,Kent State University,,2022,40.4416941,-79.9900861
8,90000,"Charleston, SC, US",Project Architect,Boutique,2-5,,Paid Overtime,15.0,"15,000",Full-time,8-10,31-35,Male,Licensed,Clemson University,Clemson University,,2022,32.7884363,-79.9399309
6,65000,"Atlanta, GA, US",Intermediate Designer,Corporate,201-500,Yes,Unpaid Overtime,15.0,,Full-time,3-5,41-45,Female,No,,Florida International University,,2022,33.7489924,-84.3902644
8,133000,"Concord, CA, US",Senior Architect,Corporate,501+,Yes,No Overtime,160.0,"4,000",Full-time,11-15,31-35,Female,Licensed,,,,2022,37.9768525,-122.0335624
5,100000,"Birmingham, AL, US",Senior Architect,Corporate,31-50,Yes,,,,Full-time,21-25,46-50,Female,Licensed,,,,2022,33.5206824,-86.8024326
8,60000,"Denver, CO, US",Intermediate Designer,Boutique,16-30,Yes,Unpaid Overtime,,,Full-time,2,21-25,Female,No,,,,2022,39.7392364,-104.984862
7,65000,"Columbus, OH, US",Project Architect,Corporate,501+,Yes,Paid Overtime,10.0,"1,500",Full-time,3,21-25,Female,Licensed,Illinois Institute of Technology (IIT),,,2022,39.9622601,-83.0007065
6,70000,"New York, NY, US",Designer,,16-30,,,,,,3-5,31-35,Male,No,,,,2022,40.7127281,-74.0060152
8,57500,"Iowa City, IA, US",Interior Designer,Corporate,31-50,Yes,Unpaid Overtime,144.0,"5,000",Full-time,3-5,21-25,Female,Licensed,,,,2022,41.6612561,-91.5299106
7,65000,"Denver, CO, US",Job Captain,Other,31-50,Yes,No Overtime,10.0,"2,000",Full-time,3-5,26-30,Female,No,Texas Tech University,Texas A&M University,,2022,39.7392364,-104.984862
