Job Satisfaction,Salary,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Year,Latitude,Longitude
7,72450,"San Francisco, CA, US",Junior Designer,Starchitect,31-50,,Unpaid Overtime,16.0,"1,500",Full-time,2,26-30,Female,No,California College of the Arts,,,2024,37.7792588,-122.4193286
9,80000,"Cincinnati, OH, US",Project Architect,Corporate,51-100,Yes,Unpaid Overtime,15.0,,Full-time,11-15,36-40,Male,Licensed,,,,2024,39.1014537,-84.5124602
8,90000,"Boston, MA, US",Project Architect,Individual,2-5,Yes,Paid Overtime,20.0,,Full-time,8-10,26-30,Male,Licensed,Boston Architectural College (BAC),,,2024,42.3554334,-71.060511
7,74000,"Cambridge, MA, US",Junior Architect,Individual,31-50,Yes,No Overtime,10.0,,Full-time,3,26-30,Male,Licensed,Oklahoma State University,,,2024,42.3656347,-71.1040018
9,110000,"Chicago, IL, US",Project Architect,Starchitect,101-200,Yes,Unpaid Overtime,,"5,000",Full-time,16-20,41-45,Male,Licensed,,,,2024,41.8755616,-87.6244212
7,70000,"San Francisco, CA, US",Designer,,6-10,Yes,Unpaid Overtime,14.0,"2,000",Full-time,3,26-30,Female,No,,The University of Texas at Austin,,2024,37.7792588,-122.4193286
10,110000,"Nashville, TN, US",Principal,Corporate,16-30,Yes,No Overtime,,"50,000",Full-time,21-25,46-50,Male,Licensed,,,,2024,36.1622767,-86.7742984
8,110000,"Los Angeles, CA, US",Associate,Boutique,6-10,Yes,No Overtime,10.0,,Full-time,8-10,31-35,Male,Licensed,The University of Texas at Austin,,,2024,34.0536909,-118.242766
6,66000,"Los Angeles, CA, US",Intermediate Architect,,51-100,,,,,,3-5,21-25,Female,No,,,,2024,34.0536909,-118.242766
1,77800,"Kansas City, MO, US",Project Architect,Boutique,2-5,Yes,Unpaid Overtime,,"1,500",Full-time,8-10,31-35,Female,Licensed,,,,2024,39.100105,-94.5781416
6,100000,"Charleston, SC, US",Project Manager,Corporate,101-200,Yes,Unpaid Overtime,15.0,"10,000",Full-time,11-15,31-35,Male,Licensed,Savannah College of Art and Design,Savannah College of Art and Design,,2024,32.7884363,-79.9399309
9,75000,"New York, NY, US",Interior Designer,Boutique,2-5,,No Overtime,10.0,,Full-time,3-5,26-30,Male,No,,,,2024,40.7127281,-74.0060152
7,70500,"Philadelphia, PA, US",Junior Designer,Individual,6-10,Yes,No Overtime,15.0,"2,000",Full-time,3-5,26-30,Male,No,Marywood University,,,2024,39.9527237,-75.1635262
6,100000,"Austin, TX, US",Project Architect,Boutique,16-30,Yes,Unpaid Overtime,15.0,,Full-time,11-15,36-40,Male,Licensed,,,,2024,30.2711286,-97.7436995
6,78000,"San Francisco, CA, US",Designer,,16-30,Yes,,,,,3-5,26-30,Female,Licensed,"California Polytechnic State University, San Luis Obispo",,,2024,37.7792588,-122.4193286
8,78000,"New York, NY, US",Junior Designer,Boutique,16-30,Yes,,17.0,"4,000",Full-time,3,26-30,Female,No,,,,2024,40.7127281,-74.0060152
8,85000,"Reston, VA, US",Project Manager,Other,51-100,Yes,Unpaid Overtime,20.0,,Full-time,8-10,36-40,Male,No,,,,2024,38.9530559,-77.35021396591173
8,74000,"Los Angeles, CA, US",Associate,Corporate,201-500,Yes,Unpaid Overtime,,,Full-time,< 1,21-25,Male,No,UCLA Extension / Cal Poly Pomona,,,2024,34.0536909,-118.242766
8,115000,"New York, NY, US",Project Architect,,101-200,Yes,,,,,11-15,41-45,Male,Licensed,,,,2024,40.7127281,-74.0060152
9,100000,"Princeton, NJ, US",Project Architect,Other,11-15,,,20.0,"4,000",Full-time,11-15,36-40,Male,Licensed,Rhode Island School of Design (RISD),,,2024,40.3496953,-74.6597376
7,98000,"New York, NY, US",Senior Designer,Other,201-500,Yes,Paid Overtime,30.0,,Full-time,8-10,36-40,Female,No,,Columbia University,,2024,40.7127281,-74.0060152
7,102000,"Saint Louis, MO, US",Associate,Corporate,101-200,Yes,Unpaid Overtime,20.0,"4,000",Full-time,11-15,31-35,Male,Licensed,,Kansas State University,,2024,38.6280278,-90.1910154
9,92000,"Boston, MA, US",Project Manager,Individual,11-15,Yes,Unpaid Overtime,,,Full-time,8-10,31-35,Female,Licensed,,,,2024,42.3554334,-71.060511
10,66000,"Allen, TX, US",Job Captain,Individual,31-50,Yes,Paid Overtime,14.0,"4,000",Full-time,3,31-35,Female,No,,,,2024,33.1031744,-96.6705503
4,130000,"Kansas City, MO, US",Senior Architect,Corporate,501+,,Paid Overtime,25.0,"40,000",Full-time,21-25,46-50,Male,Licensed,,,,2024,39.100105,-94.5781416
8,41600,"Philadelphia, PA, US",Junior Architect,Individual,11-15,Yes,Paid Overtime,,,Full-time,< 1,21-25,Female,No,Temple University,Temple University,,2024,39.9527237,-75.1635262
5,49920,"Waukesha, WI, US",Associate,,6-10,,Paid Overtime,,,Full-time,2,21-25,Female,No,University of Wisconsin-Milwaukee,,,2024,43.0622536,-88.3123889
8,200000,"Boulder, CO, US",Senior Architect,Boutique,2-5,,Unpaid Overtime,,,Full-time,26-30,46-50,Male,Licensed,University of Oregon,,,2024,40.0149856,-105.270545
5,78000,"New York, NY, US",Intermediate Architect,Boutique,16-30,Yes,No Overtime,20.0,,Full-time,6-7,31-35,Male,Licensed,University of Arkansas,,,2024,40.7127281,-74.0060152
1,122000,"Houston, TX, US",Project Architect,Corporate,501+,Yes,No Overtime,21.0,"4,000",Full-time,8-10,31-35,Male,No,University of Houston,,,2024,29.7589382,-95.3676974
8,87000,"Houston, TX, US",Project Architect,Corporate,501+,Yes,No Overtime,21.0,"10,000",Full-time,8-10,26-30,Male,No,Texas A&M University,University of Houston,,2024,29.7589382,-95.3676974
8,65000,"Boston, MA, US",Designer,Corporate,31-50,Yes,,,"5,000",,6-7,26-30,Female,No,,,,2024,42.3554334,-71.060511
10,70000,"Boston, MA, US",Designer,Other,16-30,Yes,,15.0,,Full-time,2,21-25,Female,No,,,,2024,42.3554334,-71.060511
8,63000,"Boston, MA, US",Junior Architect,Corporate,31-50,Yes,Unpaid Overtime,36.0,"10,000",Full-time,2,21-25,Male,No,Syracuse University,,,2024,42.3554334,-71.060511
6,74000,"Seattle, WA, US",Intermediate Designer,Boutique,6-10,Yes,Unpaid Overtime,15.0,"1,500",Full-time,6-7,26-30,Female,No,Massachussets College of Art and Design,Tulane University,,2024,47.6038321,-122.330062
8,78000,"Florida, US",Designer,,201-500,Yes,,,,,6-7,31-35,Female,No,,,,2024,27.7567667,-81.4639835
8,64480,"Washington, DC, US",Designer,,6-10,,Paid Overtime,10.0,,Full-time,3-5,26-30,Female,No,,,,2024,38.8950368,-77.0365427
8,64000,"Chicago, IL, US",Junior Architect,Corporate,501+,Yes,No Overtime,17.0,,Full-time,1,21-25,Male,No,,School of the Art Institute of Chicago,,2024,41.8755616,-87.6244212
8,72000,"Boston, MA, US",Designer,Corporate,31-50,Yes,Unpaid Overtime,25.0,"3,000",Full-time,3-5,26-30,Female,No,,Rhode Island School of Design (RISD),,2024,42.3554334,-71.060511
10,65000,"Glens Falls, NY, US",Designer,Boutique,16-30,Yes,Unpaid Overtime,10.0,,Full-time,< 1,21-25,Male,No,University at Buffalo,University at Buffalo,,2024,43.309941,-73.644447
8,148000,"Irvine, CA, US",Senior Architect,Corporate,201-500,Yes,No Overtime,,"25,000",Full-time,21-25,41-45,Male,Licensed,,,,2024,33.6856969,-117.825981
5,102000,"New York, NY, US",Project Architect,Starchitect,31-50,Yes,Unpaid Overtime,,,Full-time,8-10,31-35,Male,Licensed,,,,2024,40.7127281,-74.0060152
5,94000,"Oak Brook, IL, US",Job Captain,Corporate,101-200,,Unpaid Overtime,21.0,"6,000",Full-time,16-20,41-45,Male,No,The University of Kansas,,,2024,41.8328085,-87.9289504
7,135000,"New York, NY, US",Project Manager,Other,501+,Yes,No Overtime,21.0,,Full-time,11-15,36-40,Male,No,The Catholic University of America,Northeastern University,,2024,40.7127281,-74.0060152
7,55000,"Boston, MA, US",Job Captain,Individual,6-10,,,,,Full-time,2,26-30,Female,No,Sheridan College,Boston Architectural College (BAC),,2024,42.3554334,-71.060511
7,100000,"Fargo, ND, US",Senior Architect,Individual,6-10,Yes,,20.0,,Full-time,11-15,36-40,Female,Licensed,,,,2024,46.877229,-96.789821
5,90000,"Boca Raton, FL, US",Project Manager,Corporate,31-50,Yes,No Overtime,20.0,,Full-time,8-10,41-45,Female,Licensed,,,,2024,26.3586885,-80.0830984
9,52000,"Chicago, IL, US",Associate,Corporate,101-200,Yes,,16.0,,Full-time,1,21-25,Female,No,University of Kentucky,School of the Art Institute of Chicago,,2024,41.8755616,-87.6244212
5,68000,"Greenville, SC, US",Project Architect,Other,31-50,,Unpaid Overtime,14.0,"5,000",Full-time,8-10,31-35,Female,Licensed,,,,2024,34.851354,-82.3984882
7,54000,"Cookeville, TN, US",Senior Designer,Other,11-15,,Paid Overtime,12.0,"1,600",Full-time,3-5,26-30,Male,No,,,,2024,36.1623886,-85.4997057
4,73009,"New York, NY, US",Project Manager,Boutique,11-15,Yes,Unpaid Overtime,12.0,,Full-time,3-5,26-30,Female,No,,Pratt Institute,,2024,40.7127281,-74.0060152
4,475000,"New York, NY, US",Owner,Individual,1,,Paid Overtime,,,Full-time,16-20,46-50,Male,Licensed,Columbia University,University of Illinois Chicago,,2024,40.7127281,-74.0060152
7,65000,"Dallas, TX, US",Project Architect,Boutique,2-5,Yes,No Overtime,,,,8-10,31-35,Male,Licensed,,,,2024,32.7762719,-96.7968559
7,85000,"Detroit, MI, US",Senior Architect,Other,16-30,Yes,Unpaid Overtime,25.0,,Full-time,8-10,36-40,Female,Licensed,,,,2024,42.3315509,-83.0466403
1,93000,"New York, NY, US",Associate,Corporate,501+,Yes,Unpaid Overtime,27.0,,Full-time,6-7,31-35,Female,No,,,,2024,40.7127281,-74.0060152
3,55000,"Boulder, CO, US",Designer,,6-10,Yes,Unpaid Overtime,10.0,400,Full-time,< 1,21-25,Male,No,University of Colorado at Boulder,,,2024,40.0149856,-105.270545
7,125000,"Atlanta, GA, US",Technical Architect,Other,16-30,Yes,Unpaid Overtime,15.0,"5,000",Full-time,11-15,36-40,Male,Licensed,Auburn University,,,2024,33.7489924,-84.3902644
4,57000,"Boulder, CO, US",Designer,Other,16-30,Yes,Unpaid Overtime,10.0,"1,000",Full-time,2,26-30,Female,No,,,,2024,40.0149856,-105.270545
8,60000,"King City, CA, US",Intermediate Architect,Other,11-15,,Paid Overtime,15.0,,Full-time,< 1,21-25,Male,No,Hartnell College,Academy Of Art University,,2024,36.2135325,-121.12864159269488
7,75000,"Chicago, IL, US",Designer,Corporate,11-15,Yes,Unpaid Overtime,10.0,"8,000",Full-time,6-7,31-35,Male,No,,,,2024,41.8755616,-87.6244212
4,95000,"Tampa, FL, US",Project Manager,Corporate,31-50,Yes,Unpaid Overtime,15.0,"4,000",Full-time,8-10,31-35,Male,No,,,,2024,27.9477595,-82.458444
7,104000,"San Diego, CA, US",Associate,Boutique,2-5,Yes,Unpaid Overtime,15.0,"20,000",Full-time,11-15,31-35,Female,Licensed,Portland State University,NewSchool of Architecture & Design,,2024,32.7174202,-117.162772
2,69680,"New Haven, CT, US",Designer,Starchitect,101-200,Yes,Paid Overtime,18.0,"4,000",,3,26-30,Male,No,,,,2024,41.3082138,-72.9250518
10,116480,"Basalt, CO, US",Project Manager,Boutique,2-5,,Unpaid Overtime,20.0,"5,000",Full-time,31-40,56-60,Male,No,Pontificia Universidad Católica de Chile,,,2024,39.3688731,-107.032824
8,85000,"Grand Junction, CO, US",Project Architect,Other,11-15,Yes,Unpaid Overtime,10.0,"1,500",Full-time,21-25,46-50,Male,Licensed,,,,2024,39.0672568,-108.56448
7,130000,"Boston, MA, US",Project Architect,Boutique,16-30,Yes,Unpaid Overtime,20.0,"3,000",Full-time,8-10,36-40,Male,Licensed,Rice University,Rice University,,2024,42.3554334,-71.060511
10,137500,"Overland Park, KS, US",Project Manager,Corporate,201-500,Yes,Unpaid Overtime,25.0,"10,000",Full-time,31-40,56-60,Male,Licensed,Kansas State University,,,2024,38.9742502,-94.6851702
8,73000,"Eugene, OR, US",Project Architect,Boutique,16-30,Yes,No Overtime,10.0,"3,000",Full-time,3-5,26-30,Female,Licensed,University of Oregon,,,2024,44.0505054,-123.0950506
9,105000,"Boston, MA, US",Job Captain,Other,11-15,Yes,No Overtime,10.0,,Full-time,8-10,31-35,Male,No,Boston Architectural College (BAC),,,2024,42.3554334,-71.060511
7,97000,"New York, NY, US",Intermediate Architect,Boutique,2-5,,No Overtime,14.0,"2,000",Full-time,3-5,26-30,Male,Licensed,Auburn University,,,2024,40.7127281,-74.0060152
8,74880,"San Francisco, CA, US",Project Manager,,6-10,Yes,Paid Overtime,15.0,"1,000",Full-time,3-5,26-30,Male,No,,,,2024,37.7792588,-122.4193286
7,120000,"San Francisco, CA, US",Project Architect,Corporate,501+,Yes,,15.0,"5,000",,6-7,31-35,Female,No,,University of Illinois at Urbana-Champaign,,2024,37.7792588,-122.4193286
10,127000,"Newark, NJ, US",Job Captain,Individual,2-5,,No Overtime,28.0,,Freelance,16-20,36-40,Male,No,Academy Of Art University,,,2024,40.735657,-74.1723667
4,84000,"Seattle, WA, US",Junior Architect,Corporate,201-500,Yes,Unpaid Overtime,16.0,"3,000",Full-time,3-5,26-30,Male,Licensed,,,,2024,47.6038321,-122.330062
2,75000,"New York, NY, US",Junior Designer,Boutique,6-10,,Unpaid Overtime,15.0,"1,000",Full-time,2,21-25,Female,No,University of Minnesota,Pratt Institute,,2024,40.7127281,-74.0060152
7,76000,"Chattanooga, TN, US",Project Architect,Boutique,2-5,Yes,No Overtime,20.0,,Full-time,8-10,31-35,Male,Licensed,The Ohio State University,,,2024,35.0457219,-85.3094883
9,125000,"Columbus, OH, US",Project Manager,Corporate,501+,Yes,Paid Overtime,15.0,"125,000",Full-time,11-15,36-40,Female,Licensed,University of Cincinnati,University of Cincinnati,,2024,39.9622601,-83.0007065
9,68000,"Dearborn, MI, US",Intermediate Architect,Corporate,201-500,Yes,No Overtime,15.0,"4,500",Full-time,3,26-30,Female,No,Adrian College,University of Michigan,,2024,42.3222599,-83.1763145
10,103000,"Pittsburgh, PA, US",Principal,Corporate,16-30,Yes,Unpaid Overtime,25.0,"10,000",Full-time,16-20,41-45,Male,Licensed,Kent State University,Kent State University,,2024,40.4416941,-79.9900861
