 Peopleid,Job Satisfaction,Salary,Salary Unit,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Date,Year
14464,7,53000,year,"Seattle, WA, US",Junior Designer,Individual,11-15,Yes,Unpaid Overtime,10.0,,Full-time,1,31-35,Female,No,,,,2020-08-01,2020
14463,10,115000,year,"Boston, MA, US",Associate,Corporate,51-100,Yes,,,"7,000",Full-time,26-30,51-55,Male,Licensed,,,,2020-08-01,2020
14461,4,52000,year,"New York, NY, US",Junior Architect,,101-200,Yes,Unpaid Overtime,10.0,,Full-time,3-5,26-30,Female,No,Syracuse University,,,2020-08-01,2020
14460,8,63000,year,"Austin, TX, US",Designer,Boutique,6-10,Yes,Unpaid Overtime,10.0,"1,500",Full-time,3-5,26-30,Female,No,North Carolina State University,UC Berkeley Extension,,2020-08-01,2020
14459,9,62400,hour,"San Francisco, CA, US",Junior Designer,Corporate,31-50,Yes,Paid Overtime,10.0,"2,000",Full-time,1,26-30,Female,No,,,,2020-08-01,2020
14458,8,58000,year,"San Francisco, CA, US",Designer,Other,11-15,Yes,No Overtime,10.0,"1,500",Full-time,2,26-30,Female,No,"California Polytechnic State University, San Luis Obispo",,,2020-08-01,2020
14457,5,63000,year,"Los Angeles, CA, US",Designer,Starchitect,101-200,Yes,Unpaid Overtime,17.0,"2,000",Full-time,3-5,26-30,Female,No,"California Polytechnic State University, San Luis Obispo",,,2020-08-01,2020
14456,6,80000,year,"San Francisco, CA, US",Designer,Corporate,501+,Yes,Unpaid Overtime,15.0,,Full-time,3-5,26-30,Female,No,,"University of California, Los Angeles (UCLA)",,2020-08-01,2020
14455,6,85000,year,"Milwaukee, WI, US",Associate,,501+,,,,,,8-10,31-35,Female,No,,,,2020-08-01,2020
14453,3,55000,year,"Portland, OR, US",Junior Architect,Corporate,501+,Yes,Paid Overtime,18.0,"1,500",Full-time,2,26-30,Male,No,,"University of California, Berkeley",,2020-08-01,2020
14452,8,56900,year,"Reno, NV, US",Designer,Other,2-5,Yes,No Overtime,,,Full-time,< 1,26-30,Female,No,Kent State University,Kent State University,,2020-08-01,2020
14450,8,61000,year,"Chicago, IL, US",Junior Architect,Corporate,501+,Yes,Unpaid Overtime,14.0,"3,000",Full-time,6-7,26-30,Female,Licensed,,,,2020-08-01,2020
14449,8,58280,year,"Phoenix, AZ, US",Associate,Boutique,16-30,Yes,Unpaid Overtime,14.0,"2,000",Full-time,3-5,26-30,Female,No,University of Arizona,"University of California, Los Angeles (UCLA)",,2020-08-01,2020
14448,6,58500,year,"New York, NY, US",Designer,Individual,6-10,,No Overtime,10.0,"1,500",Full-time,2,26-30,Male,No,,Columbia University,,2020-08-01,2020
14447,6,55000,year,"Virginia Beach, VA, US",Junior Designer,,11-15,Yes,Unpaid Overtime,30.0,"2,000",Full-time,3,26-30,Female,No,,,,2020-08-01,2020
14446,9,121000,year,"New Jersey, US",Partner,Other,2-5,,No Overtime,30.0,"200,000",Full-time,21-25,41-45,Male,No,Philadelphia University,,,2020-08-01,2020
14445,9,121000,year,"New Jersey, US",Partner,Other,2-5,Yes,No Overtime,30.0,"20,000",Full-time,21-25,41-45,Male,No,Philadelphia University,,,2020-08-01,2020
14444,3,50000,year,"New York, NY, US",Junior Architect,Boutique,2-5,,Unpaid Overtime,9.0,"1,000",,3,21-25,Female,No,,,,2020-08-01,2020
14443,6,33280,hour,"Cleveland, OH, US",Intern,Individual,2-5,,,,,Full-time,2,21-25,Male,No,Kent State University,,,2020-08-01,2020
14440,6,62000,year,"Kennesaw, GA, US",Intern,Corporate,501+,Yes,Paid Overtime,18.0,,Full-time,3,46-50,Male,No,,,,2020-08-01,2020
14437,7,75000,year,"New York, NY, US",Intermediate Architect,Corporate,16-30,Yes,No Overtime,10.0,,Full-time,3-5,26-30,Male,No,,,,2020-08-01,2020
14436,7,90000,year,"Seattle, WA, US",Project Manager,Corporate,501+,Yes,,,"5,000",Full-time,11-15,31-35,Female,Licensed,,,,2020-08-01,2020
14435,8,63000,year,"New York, NY, US",Junior Architect,,31-50,Yes,Unpaid Overtime,15.0,,Full-time,3-5,21-25,Female,No,Washington University in St. Louis,,,2020-08-01,2020
14434,10,55000,year,"Boulder, CO, US",Job Captain,Corporate,31-50,Yes,No Overtime,15.0,"1,000",Full-time,3,26-30,Female,No,,The University of Kansas,,2020-08-01,2020
14431,5,100000,year,"New York, NY, US",Project Manager,Other,16-30,Yes,No Overtime,10.0,,Full-time,3-5,26-30,Male,No,,,,2020-08-01,2020
14430,5,80000,year,"San Francisco, CA, US",Designer,Other,51-100,Yes,,172.0,,Full-time,3-5,26-30,Female,No,,,,2020-08-01,2020
14429,8,62400,hour,"Monrovia, CA, US",Job Captain,Individual,2-5,Yes,Paid Overtime,14.0,"2,000",Full-time,3-5,26-30,Female,No,Woodbury University,,,2020-08-01,2020
14426,8,55000,year,"San Luis Obispo, CA, US",Designer,Boutique,16-30,Yes,Paid Overtime,10.0,"1,500",Full-time,2,26-30,Male,No,"California Polytechnic State University, San Luis Obispo",,,2020-08-01,2020
14425,8,37440,hour,"Dallas, TX, US",Intern,Boutique,11-15,,Paid Overtime,,,Full-time,< 1,18-20,Male,No,University of Notre Dame,,,2020-07-01,2020
14424,4,64000,year,"New York, NY, US",Junior Architect,Corporate,31-50,Yes,Unpaid Overtime,15.0,"1,500",Full-time,3-5,26-30,Female,Licensed,Pratt Institute,,,2020-07-01,2020
14420,7,101000,year,"Burlington, VT, US",Project Architect,,16-30,Yes,,20.0,,Full-time,21-25,51-55,Other,Licensed,,,,2020-07-01,2020
14419,5,63000,year,"New York, NY, US",Designer,Corporate,101-200,Yes,Unpaid Overtime,16.0,"2,000",Full-time,3,26-30,Female,No,,,,2020-07-01,2020
