id,Job Satisfaction,Salary,Salary Unit,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Date,Year,Latitude,Longitude
20182,5,68000,year,"Albany, NY",Designer,Corporate,11-15,Yes,Unpaid Overtime,12.0,,Full-time,3-5,26-30,Female,No,University of Oregon,University of Oregon,,2024-11-01,2024,42.6511674,-73.754968
20181,7,100000,year,"Philadelphia, PA",Project Architect,Starchitect,31-50,Yes,No Overtime,10.0,,Full-time,11-15,36-40,Female,Yes,,,,2024-11-01,2024,39.9527237,-75.1635262
20180,6,100000,year,"Steamboat Springs, CO",Project Architect,Boutique,11-15,Yes,Unpaid Overtime,21.0,2000.0,Full-time,8-10,31-35,Female,Yes,University of Colorado at Boulder,,,2024-11-01,2024,,
20178,7,74000,year,"New York, NY",Intermediate Designer,Corporate,501+,Yes,No Overtime,10.0,,Full-time,2,26-30,Female,No,,,,2024-11-01,2024,40.7127281,-74.0060152
20176,7,102000,year,"Los Angeles, CA",Project Manager,Boutique,31-50,Yes,Unpaid Overtime,20.0,5000.0,Full-time,11-15,36-40,Male,No,"University of California, Los Angeles (UCLA)",,,2024-11-01,2024,34.0536909,-118.242766
20172,7,72000,year,"Chicago, IL",Designer,Corporate,501+,Yes,Unpaid Overtime,10.0,2000.0,Full-time,3-5,26-30,Male,No,,,,2024-11-01,2024,41.8755616,-87.6244212
20171,4,70000,year,"Philadelphia, PA",Junior Architect,Boutique,16-30,Yes,Unpaid Overtime,15.0,1000.0,,3-5,26-30,Male,No,,Temple University,,2024-11-01,2024,39.9527237,-75.1635262
20170,7,119500,year,"Fairfax, VA",Project Manager,Boutique,16-30,Yes,Unpaid Overtime,15.0,6000.0,Full-time,8-10,31-35,Male,Yes,,,,2024-11-01,2024,38.8156356,-77.2836849
20169,9,67000,year,"Atlanta, GA",Junior Designer,Corporate,101-200,Yes,Unpaid Overtime,28.0,,Full-time,1,21-25,Female,No,Georgia Institute of Technology (Georgia Tech),Georgia Institute of Technology (Georgia Tech),,2024-11-01,2024,33.7489924,-84.3902644
20168,4,60000,year,"Ellicott City, MD",Junior Architect,Corporate,6-10,,Unpaid Overtime,6.0,,Full-time,3,26-30,Male,Yes,Syracuse University,Rhode Island School of Design (RISD),,2024-11-01,2024,39.27573585,-76.831741741596
20167,3,80000,year,"San Francisco, CA",Designer,,51-100,Yes,Unpaid Overtime,,,Full-time,3-5,31-35,Female,No,,Washington University in St. Louis,,2024-11-01,2024,37.7792588,-122.4193286
20166,6,86000,year,"Boston, MA",Designer,Individual,31-50,Yes,No Overtime,20.0,5000.0,Full-time,3-5,26-30,Female,No,,University of Michigan,,2024-11-01,2024,42.3554334,-71.060511
20165,7,85000,year,"Eugene, OR",Project Architect,Boutique,11-15,Yes,,24.0,5000.0,,6-7,31-35,Male,Yes,University of Oregon,,,2024-11-01,2024,44.0505054,-123.0950506
20163,7,65000,year,"Washington, DC",Designer,Corporate,501+,Yes,Unpaid Overtime,15.0,2000.0,Full-time,3-5,26-30,Female,No,Northeastern University,Northeastern University,,2024-11-01,2024,38.8950368,-77.0365427
20161,7,90000,year,"Detroit, MI",Project Architect,Boutique,6-10,Yes,Unpaid Overtime,15.0,,Full-time,11-15,36-40,Male,No,Lawrence Technological University,Lawrence Technological University,,2024-11-01,2024,42.3315509,-83.0466403
20160,6,82500,year,"New York, NY",Intermediate Architect,,11-15,,,,,,16-20,41-45,Female,No,,,,2024-11-01,2024,40.7127281,-74.0060152
20159,8,124000,year,"San Francisco, CA",Senior Designer,Corporate,101-200,Yes,Unpaid Overtime,14.0,50000.0,Full-time,11-15,36-40,Male,No,,,,2024-11-01,2024,37.7792588,-122.4193286
20157,10,646000,year,"Honolulu, HI",Partner,Corporate,51-100,Yes,Unpaid Overtime,21.0,65000.0,Full-time,26-30,46-50,Other,Yes,,,,2024-10-01,2024,21.304547,-157.855676
20156,10,48000,year,"Honolulu, HI",Designer,Boutique,11-15,Yes,No Overtime,15.0,1500.0,Full-time,< 1,21-25,Male,No,University of Hawai?i at M?noa,,,2024-10-01,2024,21.304547,-157.855676
20154,7,100000,year,"Boston, MA",Project Architect,Boutique,2-5,Yes,No Overtime,15.0,,Full-time,8-10,36-40,Male,Yes,,,,2024-10-01,2024,42.3554334,-71.060511
20153,6,93000,year,"Los Angeles, CA",Intermediate Architect,Corporate,201-500,Yes,,17.0,5000.0,Full-time,3-5,31-35,Female,Yes,,,,2024-10-01,2024,34.0536909,-118.242766
20151,6,60000,year,"Birmingham, AL",Associate,,11-15,Yes,,15.0,5000.0,Full-time,3-5,26-30,Female,No,Mississippi State University,,,2024-10-01,2024,33.5206824,-86.8024326
20150,7,96000,year,"Palo Alto, CA",Project Architect,Boutique,11-15,Yes,Unpaid Overtime,15.0,7500.0,Full-time,6-7,26-30,Female,Yes,,,,2024-10-01,2024,37.4443293,-122.1598465
20149,1,81000,year,"Los Angeles, CA",Job Captain,Corporate,101-200,Yes,,15.0,,Full-time,8-10,31-35,Female,No,,,,2024-10-01,2024,34.0536909,-118.242766
20148,7,64000,year,Indiana,Associate,Individual,11-15,Yes,Paid Overtime,15.0,6000.0,Full-time,8-10,31-35,Male,No,Ball State University,,,2024-10-01,2024,40.3270127,-86.1746933
20147,7,80000,year,"Dallas, TX",Junior Designer,Corporate,501+,Yes,Unpaid Overtime,20.0,8000.0,Full-time,3-5,31-35,Female,No,North Dakota State University,North Dakota State University,,2024-10-01,2024,32.7762719,-96.7968559
20146,8,130000,year,"Los Angeles, CA",Project Architect,Corporate,501+,Yes,Paid Overtime,15.0,,Full-time,8-10,31-35,Female,Yes,University of Southern California (USC),,,2024-10-01,2024,34.0536909,-118.242766
20145,8,85000,year,"New York, NY",Technical Architect,Corporate,501+,Yes,No Overtime,22.0,4000.0,Full-time,3,31-35,Male,No,New York City College of Technology,Boston Architectural College (BAC),,2024-10-01,2024,40.7127281,-74.0060152
20144,7,55000,year,"South Lake Tahoe, CA",Designer,,1,,No Overtime,25.0,,Freelance,8-10,41-45,Female,No,Unitec Institute of Technology,,,2024-10-01,2024,,
20143,7,109000,year,"Los Angeles, CA",Associate,Corporate,51-100,Yes,Unpaid Overtime,15.0,4000.0,Full-time,8-10,31-35,Female,Yes,"California Polytechnic State University, San Luis Obispo",,,2024-10-01,2024,34.0536909,-118.242766
20142,8,70000,year,"Steamboat Springs, CO",Junior Architect,Boutique,11-15,Yes,No Overtime,28.0,500.0,Full-time,2,26-30,Male,No,Texas A&M University,Texas A&M University,,2024-10-01,2024,,
20141,5,68000,year,"Brooklyn, NY",Junior Designer,Boutique,2-5,,No Overtime,13.0,,Full-time,< 1,26-30,Female,No,Cornell University,Yale University,,2024-10-01,2024,40.6526006,-73.9497211
20139,8,63000,year,"Milwaukee, WI",Senior Designer,Corporate,51-100,Yes,Unpaid Overtime,,7000.0,Full-time,6-7,26-30,Female,No,,,,2024-10-01,2024,43.0386475,-87.9090751
20138,10,645000,year,"Honolulu, HI",Partner,Corporate,16-30,,Unpaid Overtime,,120000.0,Full-time,> 40,66-70,Male,Yes,University of Colorado at Boulder,Loyola University New Orleans,Loyola University New Orleans,2024-10-01,2024,21.304547,-157.855676
20137,10,117500,year,New Hampshire,Project Architect,Other,2-5,Yes,,20.0,7000.0,Full-time,11-15,36-40,Female,Yes,Wentworth Institute of Technology,Wentworth Institute of Technology,,2024-10-01,2024,43.4849133,-71.6553992
20134,6,115000,year,"Denver, CO",Project Architect,Corporate,101-200,Yes,Unpaid Overtime,20.0,4500.0,Full-time,16-20,41-45,Female,Yes,,North Dakota State University,,2024-10-01,2024,39.7392364,-104.984862
20132,6,78000,year,"New York, NY",Junior Designer,Starchitect,201-500,Yes,Unpaid Overtime,18.0,,Full-time,2,26-30,Male,No,Syracuse University,,,2024-10-01,2024,40.7127281,-74.0060152
20131,8,56160,hour,"Boston, MA",Intern,Boutique,16-30,,,,,Full-time,< 1,18-20,Male,No,Wentworth Institute of Technology,,,2024-10-01,2024,42.3554334,-71.060511
20130,7,80000,year,"New York, NY",Designer,Corporate,501+,Yes,Paid Overtime,10.0,,Full-time,2,31-35,Female,No,,City College of New York (CCNY),,2024-10-01,2024,40.7127281,-74.0060152
20129,7,93000,year,"San Francisco, CA",Project Architect,Individual,11-15,Yes,Paid Overtime,14.0,,Full-time,3-5,26-30,Male,Yes,,,,2024-10-01,2024,37.7792588,-122.4193286
20128,10,65000,year,"Sioux Falls, SD",Designer,Individual,16-30,Yes,,15.0,1000.0,Full-time,2,21-25,Female,No,South Dakota State University,South Dakota State University,,2024-10-01,2024,43.5476008,-96.7293629
20126,7,96000,year,"New York, NY",Senior Designer,Starchitect,31-50,Yes,Unpaid Overtime,10.0,5000.0,Full-time,8-10,26-30,Female,No,Wentworth Institute of Technology,Wentworth Institute of Technology,,2024-10-01,2024,40.7127281,-74.0060152
20125,4,110000,year,"San Diego, CA",Project Architect,Boutique,31-50,Yes,No Overtime,14.0,15000.0,Full-time,11-15,46-50,Male,Yes,,,,2024-10-01,2024,32.7174202,-117.162772
20124,7,85000,year,"New York, NY",Junior Architect,Corporate,51-100,Yes,No Overtime,,2000.0,Full-time,6-7,26-30,Male,No,,,,2024-10-01,2024,40.7127281,-74.0060152
20122,8,67500,year,"New Orleans, LA",Job Captain,,16-30,Yes,No Overtime,,1500.0,Full-time,3-5,26-30,Other,No,,,,2024-10-01,2024,29.9759983,-90.0782127
20121,7,70000,year,"New York, NY",Intermediate Designer,,31-50,,,20.0,,Full-time,3-5,26-30,Female,No,,,,2024-10-01,2024,40.7127281,-74.0060152
20120,10,52000,hour,"Maplewood, NJ",Designer,Boutique,6-10,,,,,Full-time,< 1,21-25,Female,No,,University of Notre Dame,,2024-10-01,2024,40.7312123,-74.2734808
20118,9,101000,year,"Missoula, MT",Project Architect,,51-100,Yes,Unpaid Overtime,,9000.0,Full-time,26-30,51-55,Male,Yes,,,,2024-10-01,2024,46.8701049,-113.995267
20117,4,55016,year,"Sioux Falls, SD",Designer,Corporate,101-200,Yes,Unpaid Overtime,14.0,1500.0,Full-time,2,21-25,Female,No,South Dakota State University,South Dakota State University,,2024-10-01,2024,43.5476008,-96.7293629
20116,7,74000,year,"Boston, MA",Designer,Corporate,51-100,Yes,Paid Overtime,10.0,2000.0,Full-time,3,26-30,Female,No,Cornell University,,,2024-10-01,2024,42.3554334,-71.060511
20113,5,94000,year,"Miami, FL",Designer,Corporate,501+,Yes,Unpaid Overtime,15.0,5000.0,Full-time,8-10,31-35,Female,No,,,,2024-10-01,2024,25.7741728,-80.19362
20112,6,41500,year,"Marion, IL",Designer,Corporate,11-15,Yes,Unpaid Overtime,15.0,,Full-time,2,26-30,Male,No,Southern Illinois University Carbondale,Southern Illinois University Carbondale,,2024-10-01,2024,38.6477381,-88.9232112
20110,7,76000,year,"West Palm Beach, FL",Project Architect,Individual,2-5,,,,,Full-time,8-10,41-45,Female,No,,,,2024-10-01,2024,26.715364,-80.0532942
20107,9,135000,year,"Indianapolis, IN",Interior Designer,Corporate,31-50,Yes,Unpaid Overtime,15.0,10000.0,Full-time,16-20,41-45,Male,Yes,,,,2024-09-01,2024,39.7683331,-86.1583502
20104,6,110000,year,"Los Angeles, CA",Project Architect,Corporate,101-200,Yes,Unpaid Overtime,,3000.0,Full-time,11-15,36-40,Female,Yes,,,,2024-09-01,2024,34.0536909,-118.242766
20103,5,65000,year,"New York, NY",Junior Designer,Corporate,101-200,Yes,Unpaid Overtime,12.0,3000.0,Full-time,2,26-30,Female,No,Farmingdale State College,City College of New York (CCNY),,2024-09-01,2024,40.7127281,-74.0060152
20102,10,70000,year,"Austin, TX",Designer,Other,16-30,Yes,No Overtime,15.0,,Full-time,3-5,31-35,Female,Yes,Texas A&M University,The University of Texas at Austin,,2024-09-01,2024,30.2711286,-97.7436995
20098,9,250000,year,"Nashville, TN",Principal,Individual,6-10,Yes,Unpaid Overtime,30.0,60000.0,Full-time,> 40,71-103,Male,Yes,,,,2024-09-01,2024,36.1622767,-86.7742984
20097,7,72000,year,"Dallas, TX",Senior Designer,Corporate,501+,Yes,No Overtime,20.0,,Full-time,3-5,26-30,Male,No,Texas Tech University,,,2024-09-01,2024,32.7762719,-96.7968559
20096,3,125000,year,"Miami, FL",Principal,Boutique,51-100,,Unpaid Overtime,,,Full-time,21-25,41-45,Female,No,,,,2024-09-01,2024,25.7741728,-80.19362
20095,8,162000,year,"Boston, MA",Principal,Other,201-500,Yes,No Overtime,20.0,,Full-time,11-15,36-40,Female,Yes,,,,2024-09-01,2024,42.3554334,-71.060511
20094,10,129000,year,"Decatur, GA",Project Manager,Other,501+,Yes,Unpaid Overtime,30.0,20000.0,Full-time,6-7,31-35,Male,Yes,Georgia Institute of Technology (Georgia Tech),University of Michigan,,2024-09-01,2024,30.8736613,-84.5740953
20093,8,70000,year,"New York, NY",Project Manager,Other,51-100,Yes,Paid Overtime,17.0,,Full-time,< 1,26-30,Male,No,,,,2024-09-01,2024,40.7127281,-74.0060152
20092,8,105000,year,"San Francisco, CA",Senior Architect,Boutique,6-10,Yes,Unpaid Overtime,10.0,3000.0,Full-time,8-10,31-35,Female,Yes,University of Virginia,Harvard University,,2024-09-01,2024,37.7792588,-122.4193286
20091,7,200000,year,"Los Angeles, CA",Principal,Corporate,51-100,Yes,Unpaid Overtime,20.0,,Full-time,21-25,36-40,Male,No,,,,2024-09-01,2024,34.0536909,-118.242766
20090,7,105000,year,"Lancaster, PA",Senior Architect,Boutique,51-100,Yes,Unpaid Overtime,20.0,15000.0,Full-time,16-20,36-40,Male,Yes,,,,2024-09-01,2024,40.08067,-76.2411283
20089,9,110000,year,"Los Angeles, CA",Construction Administrator,Corporate,501+,Yes,,15.0,22000.0,Full-time,8-10,31-35,Male,Yes,,,,2024-09-01,2024,34.0536909,-118.242766
20088,9,85000,year,"Houston, TX",BIM Specialist,Corporate,501+,Yes,Paid Overtime,20.0,11000.0,Full-time,6-7,26-30,Male,No,University of Arkansas,,,2024-09-01,2024,29.7589382,-95.3676974
20087,6,100000,year,"Los Angeles, CA",Project Architect,,11-15,Yes,No Overtime,7.0,,Full-time,11-15,51-55,Female,Yes,,,,2024-09-01,2024,34.0536909,-118.242766
20086,1,63000,year,"Birmingham, AL",Designer,Individual,31-50,Yes,Unpaid Overtime,10.0,1000.0,Full-time,1,21-25,Female,No,Mississippi State University,,,2024-09-01,2024,33.5206824,-86.8024326
20085,7,72450,year,"San Francisco, CA",Junior Designer,Starchitect,31-50,,Unpaid Overtime,16.0,1500.0,Full-time,2,26-30,Female,No,California College of the Arts,,,2024-09-01,2024,37.7792588,-122.4193286
20084,9,80000,year,"Cincinnati, OH",Project Architect,Corporate,51-100,Yes,Unpaid Overtime,15.0,,Full-time,11-15,36-40,Male,Yes,,,,2024-09-01,2024,39.1014537,-84.5124602
20083,8,90000,year,"Boston, MA",Project Architect,Individual,2-5,Yes,Paid Overtime,20.0,,Full-time,8-10,26-30,Male,Yes,Boston Architectural College (BAC),,,2024-09-01,2024,42.3554334,-71.060511
20082,7,74000,year,"Cambridge, MA",Junior Architect,Individual,31-50,Yes,No Overtime,10.0,,Full-time,3,26-30,Male,Yes,Oklahoma State University,,,2024-09-01,2024,42.3656347,-71.1040018
20081,9,110000,year,"Chicago, IL",Project Architect,Starchitect,101-200,Yes,Unpaid Overtime,,5000.0,Full-time,16-20,41-45,Male,Yes,,,,2024-09-01,2024,41.8755616,-87.6244212
20080,7,70000,year,"San Francisco, CA",Designer,,6-10,Yes,Unpaid Overtime,14.0,2000.0,Full-time,3,26-30,Female,No,,The University of Texas at Austin,,2024-09-01,2024,37.7792588,-122.4193286
20079,10,110000,year,"Nashville, TN",Principal,Corporate,16-30,Yes,No Overtime,,50000.0,Full-time,21-25,46-50,Male,Yes,,,,2024-09-01,2024,36.1622767,-86.7742984
20078,8,110000,year,"Los Angeles, CA",Associate,Boutique,6-10,Yes,No Overtime,10.0,,Full-time,8-10,31-35,Male,Yes,The University of Texas at Austin,,,2024-09-01,2024,34.0536909,-118.242766
20077,6,66000,year,"Los Angeles, CA",Intermediate Architect,,51-100,,,,,,3-5,21-25,Female,No,,,,2024-09-01,2024,34.0536909,-118.242766
20076,1,77800,year,"Kansas City, MO",Project Architect,Boutique,2-5,Yes,Unpaid Overtime,,1500.0,Full-time,8-10,31-35,Female,Yes,,,,2024-09-01,2024,39.100105,-94.5781416
20075,6,100000,year,"Charleston, SC",Project Manager,Corporate,101-200,Yes,Unpaid Overtime,15.0,10000.0,Full-time,11-15,31-35,Male,Yes,Savannah College of Art and Design,Savannah College of Art and Design,,2024-09-01,2024,32.7884363,-79.9399309
20074,9,75000,year,"New York, NY",Interior Designer,Boutique,2-5,,No Overtime,10.0,,Full-time,3-5,26-30,Male,No,,,,2024-09-01,2024,40.7127281,-74.0060152
20073,7,70500,year,"Philadelphia, PA",Junior Designer,Individual,6-10,Yes,No Overtime,15.0,2000.0,Full-time,3-5,26-30,Male,No,Marywood University,,,2024-09-01,2024,39.9527237,-75.1635262
20071,6,100000,year,"Austin, TX",Project Architect,Boutique,16-30,Yes,Unpaid Overtime,15.0,,Full-time,11-15,36-40,Male,Yes,,,,2024-09-01,2024,30.2711286,-97.7436995
20070,6,78000,year,"San Francisco, CA",Designer,,16-30,Yes,,,,,3-5,26-30,Female,Yes,"California Polytechnic State University, San Luis Obispo",,,2024-09-01,2024,37.7792588,-122.4193286
20069,8,78000,year,"New York, NY",Junior Designer,Boutique,16-30,Yes,,17.0,4000.0,Full-time,3,26-30,Female,No,,,,2024-09-01,2024,40.7127281,-74.0060152
20064,8,85000,year,"Reston, VA",Project Manager,Other,51-100,Yes,Unpaid Overtime,20.0,,Full-time,8-10,36-40,Male,No,,,,2024-09-01,2024,38.9530559,-77.35021396591173
20063,8,74000,year,"Los Angeles, CA",Associate,Corporate,201-500,Yes,Unpaid Overtime,,,Full-time,< 1,21-25,Male,No,UCLA Extension / Cal Poly Pomona,,,2024-09-01,2024,34.0536909,-118.242766
20062,8,115000,year,"New York, NY",Project Architect,,101-200,Yes,,,,,11-15,41-45,Male,Yes,,,,2024-09-01,2024,40.7127281,-74.0060152
20061,9,100000,year,"Princeton, NJ",Project Architect,Other,11-15,,,20.0,4000.0,Full-time,11-15,36-40,Male,Yes,Rhode Island School of Design (RISD),,,2024-09-01,2024,40.3496953,-74.6597376
20060,7,98000,year,"New York, NY",Senior Designer,Other,201-500,Yes,Paid Overtime,30.0,,Full-time,8-10,36-40,Female,No,,Columbia University,,2024-09-01,2024,40.7127281,-74.0060152
20059,7,102000,year,"Saint Louis, MO",Associate,Corporate,101-200,Yes,Unpaid Overtime,20.0,4000.0,Full-time,11-15,31-35,Male,Yes,,Kansas State University,,2024-09-01,2024,38.6280278,-90.1910154
20058,9,92000,year,"Boston, MA",Project Manager,Individual,11-15,Yes,Unpaid Overtime,,,Full-time,8-10,31-35,Female,Yes,,,,2024-08-01,2024,42.3554334,-71.060511
20057,10,66000,year,"Allen, TX",Job Captain,Individual,31-50,Yes,Paid Overtime,14.0,4000.0,Full-time,3,31-35,Female,No,,,,2024-08-01,2024,33.1031744,-96.6705503
20055,4,130000,year,"Kansas City, MO",Senior Architect,Corporate,501+,,Paid Overtime,25.0,40000.0,Full-time,21-25,46-50,Male,Yes,,,,2024-08-01,2024,39.100105,-94.5781416
20054,8,41600,hour,"Philadelphia, PA",Junior Architect,Individual,11-15,Yes,Paid Overtime,,,Full-time,< 1,21-25,Female,No,Temple University,Temple University,,2024-08-01,2024,39.9527237,-75.1635262
20050,5,49920,hour,"Waukesha, WI",Associate,,6-10,,Paid Overtime,,,Full-time,2,21-25,Female,No,University of Wisconsin-Milwaukee,,,2024-08-01,2024,43.0622536,-88.3123889
20049,8,200000,year,"Boulder, CO",Senior Architect,Boutique,2-5,,Unpaid Overtime,,,Full-time,26-30,46-50,Male,Yes,University of Oregon,,,2024-08-01,2024,40.0149856,-105.270545
20047,5,78000,year,"New York, NY",Intermediate Architect,Boutique,16-30,Yes,No Overtime,20.0,,Full-time,6-7,31-35,Male,Yes,University of Arkansas,,,2024-08-01,2024,40.7127281,-74.0060152
20046,1,122000,year,"Houston, TX",Project Architect,Corporate,501+,Yes,No Overtime,21.0,4000.0,Full-time,8-10,31-35,Male,No,University of Houston,,,2024-08-01,2024,29.7589382,-95.3676974
20045,8,87000,year,"Houston, TX",Project Architect,Corporate,501+,Yes,No Overtime,21.0,10000.0,Full-time,8-10,26-30,Male,No,Texas A&M University,University of Houston,,2024-08-01,2024,29.7589382,-95.3676974
20043,8,65000,year,"Boston, MA",Designer,Corporate,31-50,Yes,,,5000.0,,6-7,26-30,Female,No,,,,2024-08-01,2024,42.3554334,-71.060511
20042,10,70000,year,"Boston, MA",Designer,Other,16-30,Yes,,15.0,,Full-time,2,21-25,Female,No,,,,2024-08-01,2024,42.3554334,-71.060511
20041,8,63000,year,"Boston, MA",Junior Architect,Corporate,31-50,Yes,Unpaid Overtime,36.0,10000.0,Full-time,2,21-25,Male,No,Syracuse University,,,2024-08-01,2024,42.3554334,-71.060511
20039,6,74000,year,"Seattle, WA",Intermediate Designer,Boutique,6-10,Yes,Unpaid Overtime,15.0,1500.0,Full-time,6-7,26-30,Female,No,Massachussets College of Art and Design,Tulane University,,2024-08-01,2024,47.6038321,-122.330062
20038,8,78000,year,Florida,Designer,,201-500,Yes,,,,,6-7,31-35,Female,No,,,,2024-08-01,2024,27.7567667,-81.4639835
20036,8,64480,hour,"Washington, DC",Designer,,6-10,,Paid Overtime,10.0,,Full-time,3-5,26-30,Female,No,,,,2024-08-01,2024,38.8950368,-77.0365427
20033,8,64000,year,"Chicago, IL",Junior Architect,Corporate,501+,Yes,No Overtime,17.0,,Full-time,1,21-25,Male,No,,School of the Art Institute of Chicago,,2024-08-01,2024,41.8755616,-87.6244212
20031,8,72000,year,"Boston, MA",Designer,Corporate,31-50,Yes,Unpaid Overtime,25.0,3000.0,Full-time,3-5,26-30,Female,No,,Rhode Island School of Design (RISD),,2024-08-01,2024,42.3554334,-71.060511
20030,10,65000,year,"Glens Falls, NY",Designer,Boutique,16-30,Yes,Unpaid Overtime,10.0,,Full-time,< 1,21-25,Male,No,University at Buffalo,University at Buffalo,,2024-08-01,2024,43.309941,-73.644447
20029,8,148000,year,"Irvine, CA",Senior Architect,Corporate,201-500,Yes,No Overtime,,25000.0,Full-time,21-25,41-45,Male,Yes,,,,2024-08-01,2024,33.6856969,-117.825981
20028,5,102000,year,"New York, NY",Project Architect,Starchitect,31-50,Yes,Unpaid Overtime,,,Full-time,8-10,31-35,Male,Yes,,,,2024-08-01,2024,40.7127281,-74.0060152
20027,5,94000,year,"Oak Brook, IL",Job Captain,Corporate,101-200,,Unpaid Overtime,21.0,6000.0,Full-time,16-20,41-45,Male,No,The University of Kansas,,,2024-08-01,2024,41.8328085,-87.9289504
20026,7,135000,year,"New York, NY",Project Manager,Other,501+,Yes,No Overtime,21.0,,Full-time,11-15,36-40,Male,No,The Catholic University of America,Northeastern University,,2024-08-01,2024,40.7127281,-74.0060152
20025,7,55000,year,"Boston, MA",Job Captain,Individual,6-10,,,,,Full-time,2,26-30,Female,No,Sheridan College,Boston Architectural College (BAC),,2024-08-01,2024,42.3554334,-71.060511
20024,7,100000,year,"Fargo, ND",Senior Architect,Individual,6-10,Yes,,20.0,,Full-time,11-15,36-40,Female,Yes,,,,2024-08-01,2024,46.877229,-96.789821
20023,5,90000,year,"Boca Raton, FL",Project Manager,Corporate,31-50,Yes,No Overtime,20.0,,Full-time,8-10,41-45,Female,Yes,,,,2024-08-01,2024,26.3586885,-80.0830984
20022,9,52000,year,"Chicago, IL",Associate,Corporate,101-200,Yes,,16.0,,Full-time,1,21-25,Female,No,University of Kentucky,School of the Art Institute of Chicago,,2024-08-01,2024,41.8755616,-87.6244212
20021,5,68000,year,"Greenville, SC",Project Architect,Other,31-50,,Unpaid Overtime,14.0,5000.0,Full-time,8-10,31-35,Female,Yes,,,,2024-08-01,2024,34.851354,-82.3984882
20020,7,54000,year,"Cookeville, TN",Senior Designer,Other,11-15,,Paid Overtime,12.0,1600.0,Full-time,3-5,26-30,Male,No,,,,2024-08-01,2024,36.1623886,-85.4997057
20019,4,73009,year,"New York, NY",Project Manager,Boutique,11-15,Yes,Unpaid Overtime,12.0,,Full-time,3-5,26-30,Female,No,,Pratt Institute,,2024-08-01,2024,40.7127281,-74.0060152
20017,4,475000,year,"New York, NY",Owner,Individual,1,,Paid Overtime,,,Full-time,16-20,46-50,Male,Yes,Columbia University,University of Illinois Chicago,,2024-08-01,2024,40.7127281,-74.0060152
20016,7,65000,year,"Dallas, TX",Project Architect,Boutique,2-5,Yes,No Overtime,,,,8-10,31-35,Male,Yes,,,,2024-08-01,2024,32.7762719,-96.7968559
20015,7,85000,year,"Detroit, MI",Senior Architect,Other,16-30,Yes,Unpaid Overtime,25.0,,Full-time,8-10,36-40,Female,Yes,,,,2024-08-01,2024,42.3315509,-83.0466403
20014,1,93000,year,"New York, NY",Associate,Corporate,501+,Yes,Unpaid Overtime,27.0,,Full-time,6-7,31-35,Female,No,,,,2024-08-01,2024,40.7127281,-74.0060152
20013,3,55000,year,"Boulder, CO",Designer,,6-10,Yes,Unpaid Overtime,10.0,400.0,Full-time,< 1,21-25,Male,No,University of Colorado at Boulder,,,2024-08-01,2024,40.0149856,-105.270545
20012,7,125000,year,"Atlanta, GA",Technical Architect,Other,16-30,Yes,Unpaid Overtime,15.0,5000.0,Full-time,11-15,36-40,Male,Yes,Auburn University,,,2024-08-01,2024,33.7489924,-84.3902644
20011,4,57000,year,"Boulder, CO",Designer,Other,16-30,Yes,Unpaid Overtime,10.0,1000.0,Full-time,2,26-30,Female,No,,,,2024-08-01,2024,40.0149856,-105.270545
20009,8,60000,year,"King City, CA",Intermediate Architect,Other,11-15,,Paid Overtime,15.0,,Full-time,< 1,21-25,Male,No,Hartnell College,Academy Of Art University,,2024-08-01,2024,36.2135325,-121.12864159269488
20008,7,75000,year,"Chicago, IL",Designer,Corporate,11-15,Yes,Unpaid Overtime,10.0,8000.0,Full-time,6-7,31-35,Male,No,,,,2024-07-01,2024,41.8755616,-87.6244212
20006,4,95000,year,"Tampa, FL",Project Manager,Corporate,31-50,Yes,Unpaid Overtime,15.0,4000.0,Full-time,8-10,31-35,Male,No,,,,2024-07-01,2024,27.9477595,-82.458444
20005,7,104000,year,"San Diego, CA",Associate,Boutique,2-5,Yes,Unpaid Overtime,15.0,20000.0,Full-time,11-15,31-35,Female,Yes,Portland State University,NewSchool of Architecture & Design,,2024-07-01,2024,32.7174202,-117.162772
20004,2,69680,year,"New Haven, CT",Designer,Starchitect,101-200,Yes,Paid Overtime,18.0,4000.0,,3,26-30,Male,No,,,,2024-07-01,2024,41.3082138,-72.9250518
20003,10,116480,hour,"Basalt, CO",Project Manager,Boutique,2-5,,Unpaid Overtime,20.0,5000.0,Full-time,31-40,56-60,Male,No,Pontificia Universidad Católica de Chile,,,2024-07-01,2024,39.3688731,-107.032824
20002,8,85000,year,"Grand Junction, CO",Project Architect,Other,11-15,Yes,Unpaid Overtime,10.0,1500.0,Full-time,21-25,46-50,Male,Yes,,,,2024-07-01,2024,39.0672568,-108.56448
20001,7,130000,year,"Boston, MA",Project Architect,Boutique,16-30,Yes,Unpaid Overtime,20.0,3000.0,Full-time,8-10,36-40,Male,Yes,Rice University,Rice University,,2024-07-01,2024,42.3554334,-71.060511
20000,10,137500,year,"Overland Park, KS",Project Manager,Corporate,201-500,Yes,Unpaid Overtime,25.0,10000.0,Full-time,31-40,56-60,Male,Yes,Kansas State University,,,2024-07-01,2024,38.9742502,-94.6851702
