id,Job Satisfaction,Salary,Salary Unit,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Date,Year,Latitude,Longitude
5773,8,90000,year,"New York, NY",Senior Architect,Starchitect,51-100,Yes,Unpaid Overtime,20.0,2600.0,Full-time,11-15,36-40,Female,Yes,,,,2014-07-01,2014,40.7127281,-74.0060152
5772,7,45000,year,"Des Moines, IA",Intern,Other,31-50,Yes,Unpaid Overtime,15.0,500.0,Full-time,3,26-30,Male,No,Iowa State University,,,2014-07-01,2014,41.5868654,-93.6249494
5771,1,20800,hour,"North Bergen, NJ",Junior Architect,Individual,2-5,,Unpaid Overtime,,,Full-time,< 1,26-30,Male,No,New Jersey Institute of Technology (NJIT),,,2014-07-01,2014,40.8042674,-74.012084
5770,10,120000,year,"Dallas, TX",Project Architect,Corporate,501+,Yes,Unpaid Overtime,30.0,5000.0,Full-time,31-40,61-65,Male,Yes,University of Nebraska,Bellevue College,University of Toronto,2014-07-01,2014,32.7762719,-96.7968559
5768,8,50000,year,"New York, NY",Interior Designer,,11-15,,Unpaid Overtime,7.0,,Full-time,3,21-25,Female,No,,,,2014-07-01,2014,40.7127281,-74.0060152
5767,9,110000,year,"Los Angeles, CA",Project Architect,Starchitect,51-100,Yes,Unpaid Overtime,18.0,9000.0,Full-time,21-25,46-50,Male,Yes,,The University of New Mexico,,2014-07-01,2014,34.0536909,-118.242766
5766,7,54080,hour,"San Juan, PR",Project Architect,Other,6-10,,No Overtime,,,Full-time,11-15,41-45,Female,No,Pratt Institute,,,2014-07-01,2014,18.465299,-66.116666
5765,5,65000,year,"Los Angeles, CA",Project Manager,Boutique,2-5,Yes,,,,Full-time,6-7,31-35,Female,Yes,,,,2014-07-01,2014,34.0536909,-118.242766
5764,7,41600,hour,"New York, NY",Junior Designer,Boutique,2-5,,Paid Overtime,,,Full-time,< 1,21-25,Male,No,Appalachian State University,Pratt Institute,,2014-07-01,2014,40.7127281,-74.0060152
5763,4,45000,year,"Seattle, WA",Intern,Boutique,11-15,Yes,No Overtime,14.0,2000.0,Full-time,3,36-40,Male,No,Texas Christian University,University of Washington,,2014-07-01,2014,47.6038321,-122.330062
5761,7,45000,year,"New York, NY",Junior Designer,Boutique,6-10,,,,,,2,21-25,Male,No,,,,2014-07-01,2014,40.7127281,-74.0060152
5759,4,70000,year,"San Francisco, CA",Associate,Boutique,11-15,,No Overtime,10.0,2000.0,Full-time,6-7,41-45,Male,No,,"University of California, Berkeley",,2014-07-01,2014,37.7792588,-122.4193286
5756,7,87000,year,"Los Angeles, CA",Project Manager,Corporate,51-100,Yes,Unpaid Overtime,23.0,,Full-time,16-20,46-50,Female,Yes,"California Polytechnic State University, San Luis Obispo",,,2014-07-01,2014,34.0536909,-118.242766
5755,9,65000,year,"Kansas City, MO",Project Manager,Other,2-5,Yes,Paid Overtime,15.0,5000.0,Full-time,3-5,36-40,Male,No,University of Colorado at Boulder,"Taliesin, The Frank Lloyd Wright School of Architecture",,2014-07-01,2014,39.100105,-94.5781416
5754,8,60000,year,"Atlanta, GA",Project Manager,Other,31-50,Yes,Paid Overtime,20.0,1000.0,Full-time,8-10,31-35,Female,Yes,,Savannah College of Art and Design,,2014-07-01,2014,33.7489924,-84.3902644
